char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf
156,32,5952,ליידן,בערירי,לידון,09,2,002,007,שבת,ד,ט
104,19,5974,ליידן,המפעפע,המרבץ,05,3,002,007,שבת,א,י
157,34,5999,ליידן,ודלא,הכין,08.1,5,002,007,שבת,ב,י
144,27,6025,ליידן,חייב,התולש,03,8,002,007,שבת,ג,י
13,4,6053,ליידן,גדולה,אחת,01,18,002,007,שבת,ד,י
1,1,6070,ליידן,"""המוציא",,01,1,001,008,שבת,א,יא
202,39,6088,ליידן,אבל,טומאתו,18,1,001,008,שבת,ב,יא
127,26,6121,ליידן,דקיסרין,רבנן,01,2,006,008,שבת,ג,יא
1,1,6134,ליידן,כתוב,,01,1,001,009,שבת,ד,יא
134,22,6157,ליידן,''זרעיה'',אמ',02,2,002,009,שבת,א,יב
143,31,6180,ליידן,דבר,זה,03,1,004,009,שבת,ב,יב
5,2,6195,ליידן,חזקיה,ב',01,1,002,010,שבת,ג,יב
148,31,6219,ליידן,הכין,אמ',03,1,006,010,שבת,ד,יב
175,36,6231,ליידן,על,אלא,06,1,001,011,שבת,א,יג
78,16,6254,ליידן,או',יהודה,04,1,005,011,שבת,ב,יג
1,1,6266,ליידן,"""הבונה",,01,1,001,012,שבת,ג,יג
1,1,6291,ליידן,תני,,07,1,003,012,שבת,ד,יג
1,1,6311,ליידן,"""ר'",,01,1,001,013,שבת,א,יד
72,14,6332,ליידן,אחד,היה,01,1,006,013,שבת,ב,יד
92,18,6346,ליידן,שלמקום,שרחמים,10,1,001,014,שבת,ג,יד
62,13,6371,ליידן,אמרה,מתנית',02,1,004,014,שבת,ד,יד
155,32,6396,ליידן,הוה,ומה,26,1,004,014,שבת,א,טו
62,13,6414,ליידן,לגדרו,וחשב,04,1,003,015,שבת,ב,טו
34,7,6422,ליידן,אין,אמ',03,1,001,016,שבת,ג,טו
8,2,6449,ליידן,דר',מתנית',02,1,002,016,שבת,ד,טו
1,1,6474,ליידן,"""כל",,01,1,001,017,שבת,א,טז
66,14,6489,ליידן,נחמיה,דר',01,1,002,017,שבת,ב,טז
1,1,6507,ליידן,"""מפנין",,01,1,001,018,שבת,ג,טז
1,1,6530,ליידן,"""ר'",,01,1,001,019,שבת,ד,טז
1,1,6543,ליידן,ר',,14,1,001,019,שבת,א,יז
17,3,6570,ליידן,אין,ואנדרוגינס,01,2,003,019,שבת,ב,יז
1,1,6590,ליידן,"""ר'",,01,1,001,020,שבת,ג,יז
253,48,6609,ליידן,שפיה,בהמה,02,1,004,020,שבת,ד,יז
1,1,6615,ליידן,"""מבוי",,01,1,001,001,עירובין,ב,יח
51,13,6633,ליידן,פתח,על,03,2,001,001,עירובין,ג,יח
46,10,6656,ליידן,ר',אמ',21,3,001,001,עירובין,ד,יח
121,25,6679,ליידן,אמ',בלבד,02,1,002,001,עירובין,א,יט
127,25,6701,ליידן,הארץ,מן,01,1,006,001,עירובין,ב,יט
104,21,6725,ליידן,אם,מותר,05,1,008,001,עירובין,ג,יט
107,22,6749,ליידן,יבישין,עצים,03,3,010,001,עירובין,ד,יט
30,6,6759,ליידן,בגלגל,הגולה,05,1,001,002,עירובין,א,כ
91,18,6787,ליידן,''וכן,תמן,01,1,004,002,עירובין,ב,כ
1,1,6805,ליידן,"""בכל",,01,1,001,003,עירובין,ג,כ
271,57,6810,ליידן,הארץ,וולדות,06,1,001,003,עירובין,ד,כ
45,8,6837,ליידן,הרי,כול',01,1,003,003,עירובין,א,כא
20,5,6861,ליידן,"עירובו""",על,01,1,005,003,עירובין,ב,כא
